realtime_average_rssi,average_rssi,rssi_variance,snr,median_rssi,mode_rssi,rssi_skewness,rssi_kurtosis,sf,tp,location_id,idx,Area,PLM_RSSI,residual
-91.27284106097376,-89.0,0.5821126991360255,9.0,-91.41583491532026,-89.0,1.4911809789892465,3.1374018968980324,11.0,2,12,17.0,3,-90.72467829636818,-0.5481627646055784
-91.57215255886328,-89.0,2.026459547075521,9.0,-91.48642101120728,-99.0,-4.301910269958216,23.334444661262477,11.0,2,12,17.0,3,-90.72467829636818,-0.8474742624950977
-102.81554109442754,-100.0,0.526604447376519,2.0,-102.62550514896226,-105.0,-1.632292875730465,2.039334016579255,11.0,2,12,17.0,3,-90.72467829636818,-12.090862798059362
-95.92144400263057,-90.0,3.162446579086914,7.0,-95.58914108348844,-103.0,-1.772858344494599,6.252291691052827,11.0,2,12,17.0,3,-90.72467829636818,-5.196765706262383
-88.53695527648486,-89.0,0.5064715605821651,9.0,-88.49286205254809,-87.0,0.4777774961619803,-0.6034960018096478,11.0,2,12,17.0,3,-90.72467829636818,2.1877230198833217
-89.88386610293215,-89.0,1.922588967916662,9.0,-89.88174521952861,-97.0,-4.096160831407165,21.537032250967048,11.0,2,12,17.0,3,-90.72467829636818,0.8408121934360366
-87.69957408346671,-88.0,0.1236028120186497,8.0,-87.59827585198713,-87.0,-0.0634608513579828,-0.9056211447489746,11.0,2,12,17.0,3,-90.72467829636818,3.025104212901468
-89.95655023739417,-89.0,2.273560981000869,9.0,-90.09780051405664,-97.0,-2.884846759823156,14.200709957495866,11.0,2,12,17.0,3,-90.72467829636818,0.768128058974014
-90.78309746799256,-91.0,0.1196022067314475,8.0,-90.87909429785417,-91.50697570352456,0.1327319852456438,-0.6033391740662375,11.0,2,12,17.0,3,-90.72467829636818,-0.058419171624379373
-93.1329341433857,-92.0,2.343581725956296,7.0,-93.51265499517876,-99.0,-0.8147509215042243,6.685417692323906,11.0,2,12,17.0,3,-90.72467829636818,-2.4082558470175144
-99.08395315432942,-96.0,2.383718555269962,5.0,-99.61382746483255,-100.57193853885153,1.3672259631703174,0.9011605489431616,11.0,2,12,17.0,3,-90.72467829636818,-8.359274857961239
-91.99588298360246,-88.0,7.456701563450909,8.0,-91.21308867550022,-104.0,-3.153486080915834,11.150445381773292,11.0,2,12,17.0,3,-90.72467829636818,-1.271204687234274
-89.7895537112376,-89.0,0.1135930173778864,9.0,-89.78052819720882,-89.0,0.4121793314690813,0.4968262756319426,11.0,2,12,17.0,3,-90.72467829636818,0.9351245851305805
-90.54448169898242,-89.0,2.374998320548107,9.0,-90.32706355527782,-99.0,-5.199195089422563,28.864633588542738,11.0,2,12,17.0,3,-90.72467829636818,0.1801965973857591
-91.04839394932524,-90.0,0.1089071488289101,9.0,-91.11227898163128,-90.0,1.894297310483961,4.449446815794001,11.0,2,12,17.0,3,-90.72467829636818,-0.3237156529570626
-93.90825486872052,-93.0,0.9589614705108984,7.0,-93.84517959136087,-99.0,-4.203881328028106,23.09826821133419,11.0,2,12,17.0,3,-90.72467829636818,-3.1835765723523366
-92.38839899399348,-91.0,0.4063969731795775,8.0,-92.56944110651484,-91.0,1.1392147534633106,-0.0376906113153907,11.0,2,12,17.0,3,-90.72467829636818,-1.663720697625294
-93.53639108890002,-93.0,1.0384911005628832,7.0,-93.44079310350868,-99.0,-4.775756792176027,26.160639159868133,11.0,2,12,17.0,3,-90.72467829636818,-2.8117127925318357
-89.0338485807224,-88.0,0.2516655472932891,9.0,-89.06704592325227,-89.58749460104843,2.2366798083094017,7.2664394833320145,11.0,2,12,17.0,3,-90.72467829636818,1.6908297156457763
-92.47574736798364,-99.0,4.605423240140222,3.0,-91.61135664240382,-99.0,-1.2304421658067763,1.032924536276219,11.0,2,12,17.0,3,-90.72467829636818,-1.7510690716154613
-91.69792668645628,-89.0,1.703442039019962,9.0,-92.05005788215075,-94.24591995751128,0.4798095963553782,-0.36635031707993,11.0,2,12,17.0,3,-90.72467829636818,-0.9732483900881022
-91.91705662773006,-89.0,1.6600429194177924,9.0,-91.9020633257952,-95.09606236268031,-0.0488714408786328,0.0269496900092152,11.0,2,12,17.0,3,-90.72467829636818,-1.1923783313618799
-92.07205777279096,-89.0,1.4079679100031706,9.0,-92.25555458268543,-94.89527366831672,0.162152347199446,0.1942665068733964,11.0,2,12,17.0,3,-90.72467829636818,-1.3473794764227733
-91.9533731483061,-89.0,1.429167278303882,9.0,-91.96442662512496,-94.18297472060712,0.9146093320704742,3.5054726113999077,11.0,2,12,17.0,3,-90.72467829636818,-1.2286948519379166
-91.75231696196684,-89.0,0.7545055626127188,9.0,-91.77127665475942,-93.1933823780751,0.3680998069077512,-0.2301266333066456,11.0,2,12,17.0,3,-90.72467829636818,-1.0276386655986585
-91.69945483426665,-89.0,1.1340325755490377,9.0,-91.65533776105715,-93.91343011656886,0.0317330252459344,-0.130881137996798,11.0,2,12,17.0,3,-90.72467829636818,-0.9747765378984639
-92.02452420456667,-89.0,0.8320702363771144,9.0,-92.02145890896152,-93.7167224152762,-0.0207364422326474,-0.7505175857137361,11.0,2,12,17.0,3,-90.72467829636818,-1.2998459081984919
-91.73227892040444,-89.0,1.2336930528418542,9.0,-91.75220493891466,-94.47388197309952,-0.2283301465355741,-0.4497139632279125,11.0,2,12,17.0,3,-90.72467829636818,-1.0076006240362574
-91.69726531433489,-89.0,1.0021840731756746,9.0,-91.3655033613819,-93.7319292756032,-0.1808563785790573,-0.1173791500120069,11.0,2,12,17.0,3,-90.72467829636818,-0.9725870179667027
-91.57444458236807,-89.0,1.3500192693122242,9.0,-91.55506008046298,-94.2674636698593,0.0196008885337126,1.0526371045317036,11.0,2,12,17.0,3,-90.72467829636818,-0.8497662859998911
-91.7847642760036,-89.0,1.2632444011278654,9.0,-92.00996873121343,-93.8529944747454,0.6339454180437358,-0.2372317891953455,11.0,2,12,17.0,3,-90.72467829636818,-1.0600859796354172
-91.86180631343994,-89.0,1.4407507677279496,9.0,-91.83536147038409,-94.71288494889755,-0.3033584759489784,-0.1155600795496178,11.0,2,12,17.0,3,-90.72467829636818,-1.1371280170717597
-92.0313869825296,-89.0,1.61677537311539,9.0,-92.15539635965708,-94.45887425274204,0.8342686834461882,2.031397230072816,11.0,2,12,17.0,3,-90.72467829636818,-1.3067086861614143
-91.8592416915579,-89.0,0.7287376609616326,9.0,-91.92347238280536,-93.81047493346914,-0.5963233859450455,-0.1112726115312754,11.0,2,12,17.0,3,-90.72467829636818,-1.1345633951897156
-92.03372427241936,-89.0,1.2589033881653109,9.0,-92.01129182260094,-93.79807406690342,0.3981666437607567,-0.065377999038791,11.0,2,12,17.0,3,-90.72467829636818,-1.3090459760511806
-91.9796602610708,-89.0,1.294382788385244,9.0,-92.120383489788,-93.71661097207294,1.1412825803277735,1.2195632786463355,11.0,2,12,17.0,3,-90.72467829636818,-1.2549819647026226
-91.87823706171314,-89.0,1.1554178525373695,9.0,-92.03226844045696,-93.66975288685386,0.2511458357152314,-0.9333630845308654,11.0,2,12,17.0,3,-90.72467829636818,-1.153558765344954
-91.60654287599225,-89.0,0.8577767274226314,9.0,-91.61247991213436,-93.72576209622824,0.0927051518433239,0.1405048328482863,11.0,2,12,17.0,3,-90.72467829636818,-0.8818645796240645
-92.08032487596118,-89.0,1.5689679404106378,9.0,-91.95938913527048,-94.00666127851063,0.3092890463177777,-0.5907609986287845,11.0,2,12,17.0,3,-90.72467829636818,-1.3556465795929995
-91.66964814984772,-89.0,1.3080845749467798,9.0,-91.32098728684392,-94.06695549187656,-0.5626671329108193,-0.7332919509676579,11.0,2,12,17.0,3,-90.72467829636818,-0.9449698534795345
-91.762604814111,-89.0,1.6360890893858049,9.0,-91.59662599292878,-94.62288910676403,-0.2498247273612247,-0.4061325214078586,11.0,2,12,17.0,3,-90.72467829636818,-1.037926517742818
-91.94612862513472,-89.0,0.9962522570271016,9.0,-92.03735430866593,-93.6949561469094,0.3033907157665234,-0.7353919445346371,11.0,2,12,17.0,3,-90.72467829636818,-1.2214503287665366
-91.70868209732616,-89.0,1.3078180062142473,9.0,-91.94429137821687,-94.27223124893776,0.3999360162514856,0.4874958481539608,11.0,2,12,17.0,3,-90.72467829636818,-0.9840038009579786
-91.81426737921625,-89.0,0.6700619581824512,9.0,-91.68577916274472,-93.63278856772035,-0.1943482898327518,-0.4714096080591559,11.0,2,12,17.0,3,-90.72467829636818,-1.0895890828480645
-91.91302610040952,-89.0,1.0744159686211043,9.0,-91.99224305801025,-94.09002886313034,0.1611604722424432,0.5437676936021876,11.0,2,12,17.0,3,-90.72467829636818,-1.1883478040413422
-91.52458533981188,-89.0,1.5829433497329657,9.0,-91.39299752433196,-94.16549550042797,-0.277876141945286,-0.2009041542578327,11.0,2,12,17.0,3,-90.72467829636818,-0.7999070434436959
-91.85565309215752,-89.0,1.2116288339925652,9.0,-92.02312574327014,-93.45571257122572,1.329822251108009,2.143524945511424,11.0,2,12,17.0,3,-90.72467829636818,-1.1309747957893421
-91.44341764886946,-89.0,1.4261536322664947,9.0,-91.23799331622736,-93.89025714216832,-0.2098651970258895,-0.8337515310606105,11.0,2,12,17.0,3,-90.72467829636818,-0.7187393525012737
-91.6594534562242,-89.0,1.762177325201436,9.0,-91.66959012887952,-94.66129133583094,-0.0198550843655915,-0.0594231047239857,11.0,2,12,17.0,3,-90.72467829636818,-0.9347751598560166
-91.80987377600778,-89.0,1.827628774780769,9.0,-91.8540289679129,-94.65272442830054,0.1035313204231123,-0.0157489678183031,11.0,2,12,17.0,3,-90.72467829636818,-1.0851954796395944
-91.98434510879936,-89.0,1.265952758750282,9.0,-92.16893276215148,-94.07643289843766,0.3310291264157242,-0.8140412533108501,11.0,2,12,17.0,3,-90.72467829636818,-1.2596668124311776
-91.89129245317169,-89.0,1.684619159736464,9.0,-91.82916879553994,-94.57650228139566,0.0043414911338257,-0.7837573381519696,11.0,2,12,17.0,3,-90.72467829636818,-1.1666141568035044
