hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-98.64415631572568,-101.33934219140102,-100.3300583019248,-101.49660626797795,-100.33115173192193,-100.96576256299916,-99.73592755897624,-98.606874717782,-100.31527979258286,-101.18150825300334,-99.69432811241542,44,-100.24009052788277,-100.3300583019248,-101.49660626797795,0.9080481667817252,0.5119508066456228,-0.717348001634182
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-98.85294173063595,-102.65979988894682,-102.31501385421001,-99.33364080424533,-99.86753336599169,-99.87250939687392,-100.81483024936894,-100.55846336923688,-100.08053193502688,-100.22909878678952,-97.91083897232515,44,-100.22683657760466,-100.08053193502688,-102.65979988894682,1.7327995511341647,-0.3680345989071023,0.2329063000235001
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-102.17050665196693,-102.54302289689844,-101.91375458817491,-100.53294857368628,-101.38907950057325,-100.4416550542285,-100.92250987693112,-100.42644581013647,-97.87617789995046,-101.2778248807431,-100.57260041736315,44,-100.91513874096842,-100.92250987693112,-102.54302289689844,1.4128269857481353,1.321144816865889,3.120436357763406
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-101.23353084833767,-103.76835145562502,-100.81215501231651,-99.6007994829611,-100.87101960534623,-100.2817061563998,-100.67210596078372,-100.42555695735341,-98.84430195619248,-100.06213577101704,-100.55284950797935,44,-100.64768297402838,-100.55284950797935,-103.76835145562502,1.3675093035759358,-1.5457833755891202,4.4925438082610905
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-100.67968120112131,-102.38466126774797,-101.50915538319903,-99.96875058221283,-101.52457687041449,-100.93630471800527,-99.93443439769969,-101.40195037030936,-99.80375024137219,-98.69299210441592,-98.14725104008768,44,-100.45304619787143,-100.67968120112131,-102.38466126774797,1.501779102314225,0.4400201752477357,-0.4367813400960503
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-102.4693644161105,-101.85285664831369,-101.15555128675011,-101.18655446922678,-101.1462980202369,-99.7195323583171,-100.40714407830228,-99.99528348651083,-98.7143709449195,-99.48121250465086,-100.21962598600432,44,-100.57707219994028,-100.40714407830228,-102.4693644161105,1.1035982728795057,-0.07307681492304846,-0.43713272957229377
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-101.25323105887713,-103.34517086793919,-100.35037545888454,-101.50466660889882,-99.68671791914736,-101.5695761427335,-100.10193974989436,-99.74864470670465,-99.37276816372477,-99.99510936876736,-99.80878418455481,44,-100.61245311182967,-100.10193974989436,-103.34517086793919,1.2806133765057774,-1.316503317913584,1.5334333295680587
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-103.380305395806,-101.2597444443303,-100.92928251366956,-101.41671333164221,-100.95571252485225,-98.85917990553543,-100.18470454063822,-99.20291756516417,-99.59091128987536,-99.44342309964243,-99.65427468365634,44,-100.44337902680113,-100.18470454063822,-103.380305395806,1.5638726562906078,-1.0311442568727662,1.1892200478527002
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-102.21943192024185,-103.35562346849851,-101.23965316968834,-100.1021997614491,-101.64142104744492,-99.00115908736693,-99.71934054184177,-98.66451612085272,-100.05162880377621,-97.11897489833426,-99.59639080683252,44,-100.24639451148428,-100.05162880377621,-103.35562346849851,2.825960324761557,-0.100891554466528,-0.03145191641537348
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-101.05134037131994,-103.57342927016997,-102.35583380164452,-100.76953092554241,-99.04769264982124,-101.81488185350585,-100.53718395543191,-101.11498424257799,-100.85366485046562,-98.27043015953406,-99.6870470443267,44,-100.8250926476673,-100.85366485046562,-103.57342927016997,2.007165852638667,-0.05834328925938239,0.2625291159368297
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-100.3620436406229,-101.34218250187668,-101.49617827749931,-101.8914646702927,-101.53838151264485,-100.31765280717818,-101.05340690394796,-98.6679379919888,-98.71834596936048,-98.91925256292319,-100.20882109724495,44,-100.41051526687089,-100.3620436406229,-101.8914646702927,1.2818910441723257,0.46902471259883866,-1.2982430858007854
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-101.09899784617484,-101.6797484942166,-101.7585971324675,-103.38598647332753,-99.25676539611537,-100.54224030589127,-100.97889383803071,-98.708044958471,-99.62053251400047,-99.17150803398393,-98.4597416818537,44,-100.42373242495755,-100.54224030589127,-103.38598647332753,2.1171338265954165,-0.486195695056748,-0.4064077411048732
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-101.28427961901603,-100.68481071521364,-100.8652282295969,-100.67839991757712,-100.8501479295845,-101.6605344267865,-99.7076480618145,-100.29848040495735,-99.47963409449684,-101.52971699388297,-99.86441828444089,44,-100.62757260703339,-100.68481071521364,-101.6605344267865,0.47988622691533234,0.19978850875336998,-1.011158529647033
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-101.71273363787287,-102.44465002013546,-100.57551557617197,-103.01325785517929,-101.45175721469874,-100.74576327083467,-100.12751318701092,-98.48114652526485,-99.61287514555065,-99.09802418105303,-98.57644354045223,44,-100.53088001402043,-100.57551557617197,-103.01325785517929,2.1088562013514953,-0.16914161579362014,-1.0577268978268108
